date;flight_number;departure;destination;travel_class;service;component;dish_type;region;passengers;amount_loaded;amount_predicted_demand;amount_used;amount_missed_order;recommended_ratio;ratio;load_factor;price_per_dish;co2_per_item;items_saved;potential_cost_savings;potential_co2_savings;customer_satisfaction;departure_time;arrival_time;flight_duration;route
2024-04-19;4Y001;FRA;JFK;Premium Eco;Second;Dinner;Veg;North America;11;6;6;6;1;0,55;0,6;1,2;4,5;1,2;0;0;0;84;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Eco;First;Main;Non-Veg;North America;120;72;65;66;0;0,54;0,6;1,2;5,5;2,7;0;0;0;78;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Eco;First;Main;Veg;North America;120;72;60;59;0;0,5;0,6;1,2;4,5;1,2;12;54;14,4;75;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Eco;Second;Breakfast;;North America;120;120;123;117;0;1,02;1;1;0;0;0;0;0;73;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Eco;Second;Dinner;Meat;North America;120;72;65;68;0;0,54;0,6;1,2;5;2,5;0;0;0;81;08:00;11:00;08:00;intercont
2024-04-19;4Y001;FRA;JFK;Eco;Second;Dinner;Veg;North America;120;72;70;68;0;0,58;0,6;1,2;4,5;1,2;2;9;2,4;87;08:00;11:00;08:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;First;Starter;Meat;Asia;59;35;30;29;0;0,51;0,6;1,2;5;2,5;5;25;12,5;97;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;First;Starter;Veg;Asia;59;35;32;32;0;0,54;0,6;1,2;4,5;1,2;3;13,5;3,6;70;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;First;Main;Meat;Asia;59;23;15;16;0;0,25;0,4;1,2;5;2,5;0;0;0;72;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;First;Main;Veg;Asia;59;23;24;23;1;0,41;0,4;1,2;4,5;1,2;0;0;0;72;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;First;Main;Fish;Asia;59;23;20;19;0;0,34;0,4;1,2;6;3;3;18;9;87;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;First;Dessert;Cheese;Asia;59;35;35;33;0;0,59;0,6;1,2;3,5;1,8;0;0;0;78;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;First;Dessert;Sweet;Asia;59;35;34;32;0;0,58;0,6;1,2;2,5;0,8;1;2,5;0,8;100;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;Second;Breakfast;;Asia;59;59;47;49;0;0,8;1;1;0;0;0;0;0;84;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;Second;Dinner;Meat;Asia;59;35;25;25;0;0,42;0,6;1,2;5;2,5;10;50;25;68;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Business;Second;Dinner;Veg;Asia;59;35;31;31;0;0,53;0,6;1,2;4,5;1,2;4;18;4,8;65;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Premium Eco;First;Starter;Snack;Asia;24;24;21;20;0;0,88;1;1;2;0,5;3;6;1,5;95;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Premium Eco;First;Main;Non-Veg;Asia;24;9;6;7;0;0,25;0,4;1,2;5,5;2,7;0;0;0;98;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Premium Eco;First;Main;Veg;Asia;24;9;9;9;6;0,38;0,4;1,2;4,5;1,2;0;0;0;82;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Premium Eco;First;Main;Bread;Asia;24;9;8;8;0;0,33;0,4;1,2;1;0,3;1;1;0,3;73;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Premium Eco;Second;Breakfast;;Asia;24;24;20;21;0;0,83;1;1;0;0;0;0;0;85;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Premium Eco;Second;Dinner;Meat;Asia;24;14;11;12;0;0,46;0,6;1,2;5;2,5;0;0;0;74;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Premium Eco;Second;Dinner;Veg;Asia;24;14;11;12;0;0,46;0,6;1,2;4,5;1,2;0;0;0;96;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Eco;First;Main;Non-Veg;Asia;174;104;93;87;0;0,53;0,6;1,2;5,5;2,7;11;60,5;29,7;84;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Eco;First;Main;Veg;Asia;174;104;71;74;0;0,41;0,6;1,2;4,5;1,2;0;0;0;74;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Eco;Second;Breakfast;;Asia;174;174;133;128;0;0,76;1;1;0;0;41;0;0;100;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Eco;Second;Dinner;Meat;Asia;174;104;100;96;0;0,57;0,6;1,2;5;2,5;4;20;10;99;09:00;17:00;12:00;intercont
2024-04-19;4Y002;FRA;SIN;Eco;Second;Dinner;Veg;Asia;174;104;105;100;0;0,6;0,6;1,2;4,5;1,2;0;0;0;80;09:00;17:00;12:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;First;Starter;Meat;North America;45;27;19;18;0;0,42;0,6;1,2;5;2,5;8;40;20;92;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;First;Starter;Veg;North America;45;27;27;26;0;0,6;0,6;1,2;4,5;1,2;0;0;0;84;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;First;Main;Meat;North America;45;18;17;17;0;0,38;0,4;1,2;5;2,5;1;5;2,5;79;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;First;Main;Veg;North America;45;18;13;13;0;0,29;0,4;1,2;4,5;1,2;5;22,5;6;99;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;First;Main;Fish;North America;45;18;11;12;0;0,24;0,4;1,2;6;3;0;0;0;73;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;First;Dessert;Cheese;North America;45;27;24;23;0;0,53;0,6;1,2;3,5;1,8;3;10,5;5,4;92;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;First;Dessert;Sweet;North America;45;27;26;25;0;0,58;0,6;1,2;2,5;0,8;1;2,5;0,8;69;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;Second;Breakfast;;North America;45;45;39;41;0;0,87;1;1;0;0;0;0;0;73;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;Second;Dinner;Meat;North America;45;27;19;18;0;0,42;0,6;1,2;5;2,5;8;40;20;78;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Business;Second;Dinner;Veg;North America;45;27;27;27;6;0,6;0,6;1,2;4,5;1,2;0;0;0;80;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Premium Eco;First;Starter;Snack;North America;21;21;21;20;0;1;1;1;2;0,5;0;0;0;97;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Premium Eco;First;Main;Non-Veg;North America;21;8;4;5;0;0,19;0,4;1,2;5,5;2,7;0;0;0;75;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Premium Eco;First;Main;Veg;North America;21;8;7;7;0;0,33;0,4;1,2;4,5;1,2;1;4,5;1,2;76;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Premium Eco;First;Main;Bread;North America;21;8;5;5;0;0,24;0,4;1,2;1;0,3;3;3;0,9;85;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Premium Eco;Second;Breakfast;;North America;21;21;18;17;0;0,86;1;1;0;0;3;0;0;94;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Premium Eco;Second;Dinner;Meat;North America;21;12;8;9;0;0,38;0,6;1,2;5;2,5;0;0;0;71;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Premium Eco;Second;Dinner;Veg;North America;21;12;8;9;0;0,38;0,6;1,2;4,5;1,2;0;0;0;85;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Eco;First;Main;Non-Veg;North America;105;63;49;51;0;0,47;0,6;1,2;5,5;2,7;0;0;0;67;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Eco;First;Main;Veg;North America;105;63;58;60;0;0,55;0,6;1,2;4,5;1,2;0;0;0;70;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Eco;Second;Breakfast;;North America;105;105;101;103;0;0,96;1;1;0;0;0;0;0;100;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Eco;Second;Dinner;Meat;North America;105;63;56;55;0;0,53;0,6;1,2;5;2,5;7;35;17,5;79;12:00;15:00;11:00;intercont
2024-04-19;4Y003;FRA;LAX;Eco;Second;Dinner;Veg;North America;105;63;63;63;3;0,6;0,6;1,2;4,5;1,2;0;0;0;90;12:00;15:00;11:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;First;Starter;Meat;Asia;47;28;23;22;0;0,49;0,6;1,2;5;2,5;5;25;12,5;100;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;First;Starter;Veg;Asia;47;28;22;22;0;0,47;0,6;1,2;4,5;1,2;6;27;7,2;80;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;First;Main;Meat;Asia;47;18;17;17;0;0,36;0,4;1,2;5;2,5;1;5;2,5;93;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;First;Main;Veg;Asia;47;18;16;17;0;0,34;0,4;1,2;4,5;1,2;0;0;0;81;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;First;Main;Fish;Asia;47;18;13;14;0;0,28;0,4;1,2;6;3;0;0;0;74;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;First;Dessert;Cheese;Asia;47;28;22;23;0;0,47;0,6;1,2;3,5;1,8;0;0;0;94;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;First;Dessert;Sweet;Asia;47;28;19;20;0;0,4;0,6;1,2;2,5;0,8;0;0;0;99;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;Second;Breakfast;;Asia;47;47;34;34;0;0,72;1;1;0;0;13;0;0;74;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;Second;Dinner;Meat;Asia;47;28;24;24;0;0,51;0,6;1,2;5;2,5;4;20;10;97;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Business;Second;Dinner;Veg;Asia;47;28;26;26;0;0,55;0,6;1,2;4,5;1,2;2;9;2,4;77;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Premium Eco;First;Starter;Snack;Asia;27;27;19;20;0;0,7;1;1;2;0,5;0;0;0;72;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Premium Eco;First;Main;Non-Veg;Asia;27;10;6;7;0;0,22;0,4;1,2;5,5;2,7;0;0;0;74;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Premium Eco;First;Main;Veg;Asia;27;10;9;10;1;0,33;0,4;1,2;4,5;1,2;0;0;0;92;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Premium Eco;First;Main;Bread;Asia;27;10;7;7;0;0,26;0,4;1,2;1;0,3;3;3;0,9;80;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Premium Eco;Second;Breakfast;;Asia;27;27;20;20;0;0,74;1;1;0;0;7;0;0;82;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Premium Eco;Second;Dinner;Meat;Asia;27;16;15;15;0;0,56;0,6;1,2;5;2,5;1;5;2,5;86;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Premium Eco;Second;Dinner;Veg;Asia;27;16;13;13;0;0,48;0,6;1,2;4,5;1,2;3;13,5;3,6;99;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Eco;First;Main;Non-Veg;Asia;105;63;58;60;0;0,55;0,6;1,2;5,5;2,7;0;0;0;99;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Eco;First;Main;Veg;Asia;105;63;59;57;0;0,56;0,6;1,2;4,5;1,2;4;18;4,8;76;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Eco;Second;Breakfast;;Asia;105;105;74;76;0;0,7;1;1;0;0;0;0;0;75;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Eco;Second;Dinner;Meat;Asia;105;63;59;60;0;0,56;0,6;1,2;5;2,5;0;0;0;89;13:30;07:00;10:00;intercont
2024-04-19;4Y004;FRA;BKK;Eco;Second;Dinner;Veg;Asia;105;63;52;54;0;0,5;0,6;1,2;4,5;1,2;0;0;0;92;13:30;07:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;First;Starter;Meat;Asia;39;23;20;20;0;0,51;0,6;1,2;5;2,5;3;15;7,5;78;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;First;Starter;Veg;Asia;39;23;21;22;0;0,54;0,6;1,2;4,5;1,2;0;0;0;77;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;First;Main;Meat;Asia;39;15;11;12;0;0,28;0,4;1,2;5;2,5;0;0;0;78;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;First;Main;Veg;Asia;39;15;14;14;0;0,36;0,4;1,2;4,5;1,2;1;4,5;1,2;87;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;First;Main;Fish;Asia;39;15;14;15;5;0,36;0,4;1,2;6;3;0;0;0;92;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;First;Dessert;Cheese;Asia;39;23;21;20;0;0,54;0,6;1,2;3,5;1,8;2;7;3,6;98;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;First;Dessert;Sweet;Asia;39;23;17;17;0;0,44;0,6;1,2;2,5;0,8;6;15;4,8;97;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;Second;Breakfast;;Asia;39;39;41;39;4;1,05;1;1;0;0;0;0;0;100;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;Second;Dinner;Meat;Asia;39;23;19;20;0;0,49;0,6;1,2;5;2,5;0;0;0;78;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Business;Second;Dinner;Veg;Asia;39;23;18;18;0;0,46;0,6;1,2;4,5;1,2;5;22,5;6;75;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Premium Eco;First;Starter;Snack;Asia;11;11;7;8;0;0,64;1;1;2;0,5;0;0;0;96;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Premium Eco;First;Main;Non-Veg;Asia;11;4;1;2;0;0,09;0,4;1,2;5,5;2,7;0;0;0;70;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Premium Eco;First;Main;Veg;Asia;11;4;1;2;0;0,09;0,4;1,2;4,5;1,2;0;0;0;85;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Premium Eco;First;Main;Bread;Asia;11;4;3;3;0;0,27;0,4;1,2;1;0,3;1;1;0,3;89;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Premium Eco;Second;Breakfast;;Asia;11;11;6;7;0;0,55;1;1;0;0;0;0;0;88;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Premium Eco;Second;Dinner;Meat;Asia;11;6;5;6;5;0,45;0,6;1,2;5;2,5;0;0;0;90;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Premium Eco;Second;Dinner;Veg;Asia;11;6;5;5;0;0,45;0,6;1,2;4,5;1,2;1;4,5;1,2;72;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Eco;First;Main;Non-Veg;Asia;130;78;61;61;0;0,47;0,6;1,2;5,5;2,7;17;93,5;45,9;70;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Eco;First;Main;Veg;Asia;130;78;75;77;0;0,58;0,6;1,2;4,5;1,2;0;0;0;66;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Eco;Second;Breakfast;;Asia;130;130;97;101;0;0,75;1;1;0;0;0;0;0;98;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Eco;Second;Dinner;Meat;Asia;130;78;70;67;0;0,54;0,6;1,2;5;2,5;8;40;20;91;10:00;00:00;10:00;intercont
2024-04-19;4Y005;FRA;HND;Eco;Second;Dinner;Veg;Asia;130;78;63;62;0;0,48;0,6;1,2;4,5;1,2;15;67,5;18;97;10:00;00:00;10:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;First;Starter;Meat;South America;44;26;18;18;0;0,41;0,6;1,2;5;2,5;8;40;20;67;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;First;Starter;Veg;South America;44;26;26;25;0;0,59;0,6;1,2;4,5;1,2;0;0;0;82;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;First;Main;Meat;South America;44;17;12;13;0;0,27;0,4;1,2;5;2,5;0;0;0;81;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;First;Main;Veg;South America;44;17;18;17;1;0,41;0,4;1,2;4,5;1,2;0;0;0;86;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;First;Main;Fish;South America;44;17;16;15;0;0,36;0,4;1,2;6;3;1;6;3;89;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;First;Dessert;Cheese;South America;44;26;24;25;0;0,55;0,6;1,2;3,5;1,8;0;0;0;84;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;First;Dessert;Sweet;South America;44;26;20;20;0;0,45;0,6;1,2;2,5;0,8;6;15;4,8;72;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;Second;Breakfast;;South America;44;44;39;40;0;0,89;1;1;0;0;0;0;0;83;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;Second;Dinner;Meat;South America;44;26;17;18;0;0,39;0,6;1,2;5;2,5;0;0;0;83;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Business;Second;Dinner;Veg;South America;44;26;24;24;0;0,55;0,6;1,2;4,5;1,2;2;9;2,4;75;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Premium Eco;First;Starter;Snack;South America;25;25;21;20;0;0,84;1;1;2;0,5;4;8;2;76;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Premium Eco;First;Main;Non-Veg;South America;25;10;9;10;1;0,36;0,4;1,2;5,5;2,7;0;0;0;95;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Premium Eco;First;Main;Veg;South America;25;10;9;10;5;0,36;0,4;1,2;4,5;1,2;0;0;0;81;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Premium Eco;First;Main;Bread;South America;25;10;10;10;2;0,4;0,4;1,2;1;0,3;0;0;0;78;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Premium Eco;Second;Breakfast;;South America;25;25;21;22;0;0,84;1;1;0;0;0;0;0;96;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Premium Eco;Second;Dinner;Meat;South America;25;15;14;14;0;0,56;0,6;1,2;5;2,5;1;5;2,5;66;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Premium Eco;Second;Dinner;Veg;South America;25;15;13;14;0;0,52;0,6;1,2;4,5;1,2;0;0;0;95;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Eco;First;Main;Non-Veg;South America;160;96;91;91;0;0,57;0,6;1,2;5,5;2,7;5;27,5;13,5;80;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Eco;First;Main;Veg;South America;160;96;66;68;0;0,41;0,6;1,2;4,5;1,2;0;0;0;65;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Eco;Second;Breakfast;;South America;160;160;155;146;0;0,97;1;1;0;0;5;0;0;82;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Eco;Second;Dinner;Meat;South America;160;96;93;94;0;0,58;0,6;1,2;5;2,5;0;0;0;84;21:00;06:00;11:00;intercont
2024-04-19;4Y006;FRA;GRU;Eco;Second;Dinner;Veg;South America;160;96;88;87;0;0,55;0,6;1,2;4,5;1,2;8;36;9,6;89;21:00;06:00;11:00;intercont
2024-04-19;4Y007;FRA;LHR;Business;First;Breakfast;;Europe;35;35;23;24;0;0,66;1;1;0;0;0;0;0;71;07:00;08:00;01:00;cont
2024-04-19;4Y007;FRA;LHR;Business;First;Hot Meal;Meat;Europe;35;21;14;15;0;0,4;0,6;1,2;5;2,5;0;0;0;71;07:00;08:00;01:00;cont
2024-04-19;4Y007;FRA;LHR;Business;First;Hot Meal;Veg;Europe;35;21;20;20;0;0,57;0,6;1,2;4,5;1,2;1;4,5;1,2;91;07:00;08:00;01:00;cont
2024-04-19;4Y008;FRA;CDG;Business;First;Breakfast;;Europe;40;40;40;39;0;1;1;1;0;0;0;0;0;65;09:00;10:00;01:00;cont
2024-04-19;4Y008;FRA;CDG;Business;First;Hot Meal;Meat;Europe;40;24;18;18;0;0,45;0,6;1,2;5;2,5;6;30;15;73;09:00;10:00;01:00;cont
2024-04-19;4Y008;FRA;CDG;Business;First;Hot Meal;Veg;Europe;40;24;23;24;1;0,57;0,6;1,2;4,5;1,2;0;0;0;96;09:00;10:00;01:00;cont
2024-04-19;4Y009;FRA;MAD;Business;First;Breakfast;;Europe;34;34;25;24;0;0,74;1;1;0;0;9;0;0;96;11:00;13:00;02:00;cont
2024-04-19;4Y009;FRA;MAD;Business;First;Hot Meal;Meat;Europe;34;20;17;18;0;0,5;0,6;1,2;5;2,5;0;0;0;73;11:00;13:00;02:00;cont
2024-04-19;4Y009;FRA;MAD;Business;First;Hot Meal;Veg;Europe;34;20;18;18;0;0,53;0,6;1,2;4,5;1,2;2;9;2,4;65;11:00;13:00;02:00;cont
2024-04-19;4Y010;FRA;AMS;Business;First;Breakfast;;pEurope;48;48;43;41;0;0,9;1;1;0;0;5;0;0;90;14:00;15:00;01:00;cont
2024-04-19;4Y010;FRA;AMS;Business;First;Hot Meal;Meat;pEurope;48;28;26;26;0;0,54;0,6;1,2;5;2,5;2;10;5;77;14:00;15:00;01:00;cont
2024-04-19;4Y010;FRA;AMS;Business;First;Hot Meal;Veg;pEurope;48;28;21;22;0;0,44;0,6;1,2;4,5;1,2;0;0;0;82;14:00;15:00;01:00;cont
2024-04-19;4Y011;FRA;BCN;Business;First;Breakfast;;Europe;56;56;45;45;0;0,8;1;1;0;0;11;0;0;73;16:00;18:00;02:00;cont
2024-04-19;4Y011;FRA;BCN;Business;First;Hot Meal;Meat;Europe;56;33;29;28;0;0,52;0,6;1,2;5;2,5;4;20;10;66;16:00;18:00;02:00;cont
2024-04-19;4Y011;FRA;BCN;Business;First;Hot Meal;Veg;Europe;56;33;23;23;0;0,41;0,6;1,2;4,5;1,2;10;45;12;66;16:00;18:00;02:00;cont
2024-04-19;4Y012;FRA;ZRH;Business;First;Breakfast;;Europe;36;36;25;25;0;0,69;1;1;0;0;11;0;0;98;19:00;20:00;01:00;cont
2024-04-19;4Y012;FRA;ZRH;Business;First;Hot Meal;Meat;Europe;36;21;20;21;1;0,56;0,6;1,2;5;2,5;0;0;0;87;19:00;20:00;01:00;cont
2024-04-19;4Y012;FRA;ZRH;Business;First;Hot Meal;Veg;Europe;36;21;20;19;0;0,56;0,6;1,2;4,5;1,2;1;4,5;1,2;79;19:00;20:00;01:00;cont
